number,masked_number,pattern
07404333325,07404-33--33-2*,2Same2digitRepeats
07438888445,0743-88--88-44*,2Same2digitRepeats
07404431404,07-404-43*-404-,2Unique3digitRepeats
07985244446,079852-44--44-*,2Same2digitRepeats
07459222248,07459-22--22-4*,2Same2digitRepeats
07459772266,0745*-772266-,pairs
07459363459,07-459-36*-459-,2Unique3digitRepeats
07990300033,0799-03-00-03-*,2Unique2digitRepeats
07771243771,07-771-24*-771-,2Unique3digitRepeats
07503503844,07-503--503-84*,2Unique3digitRepeats
07503503443,07-503--503-44*,2Unique3digitRepeats
07385605385,07-385-60*-385-,2Unique3digitRepeats
07448448655,07-448--448-65*,2Unique3digitRepeats
07435790435,07-435-79*-435-,2Unique3digitRepeats
